strain rep decay evolvability N0
ATCC13985 1 0.00768600264365825 -5.6499192015028e-06 7.45005578056178
ATCC13985 2 0.00743687635483587 -5.58297462041202e-06 7.38002619293555
ATCC13985 3 0.00326198052666203 0 6.82232995166029
ATCC13985 4 0.00309422612762329 0 6.84385284355352
ATCC43928 1 0.00978573416041175 -6.96225462026584e-06 6.99962706489961
ATCC43928 2 0.00982653998690262 -6.83262682296228e-06 7.00800638578103
ATCC43928 3 0.00179080699931304 0 6.59380897388808
ATCC43928 4 0.00138924934024834 0 6.49473927885521
KBS0701 1 0.0148737039739117 -1.20629075840118e-05 6.1673238024238
KBS0701 2 0.0152278157052082 -1.31366789655558e-05 5.6991851257182
KBS0701 3 0.0320932667096616 -6.76386227058251e-05 6.63237911019651
KBS0701 4 0.0137763998502525 0 6.16108032445487
KBS0701 5 0.00379692273442331 0 4.72439301553828
KBS0701 6 0.0140824022806815 -1.2276950839028e-05 5.70131676367282
KBS0702 1 0.00448713107468408 0 7.24372379670812
KBS0702 2 0.00385552503109629 0 7.17356775182567
KBS0702 3 0.00254957126844164 0 7.07745175047206
KBS0702 5 0.0035472533086355 0 7.10601062006458
KBS0702 4 0.00260697247418182 0 6.94900540110767
KBS0702 6 0.00437082348801411 0 7.06216876730516
KBS0703 1 0.00240775864398684 0 6.7293585816642
KBS0703 2 0.00264209314089273 0 6.87330312447349
KBS0703 3 0.0052371930283671 -3.34429433874117e-06 7.09396075912183
KBS0703 4 0.00500533125111486 -3.15933377813776e-06 7.05223106126487
KBS0703 6 0.0051563676090469 0 7.85143507975325
KBS0703 5 0.00601225111220296 0 7.67350513264122
KBS0704 5 0.533446792794094 0 7.77629556115936
KBS0704 6 1.11027638480999 -0.0403311518047883 8.00169808110838
KBS0704 8 0.530108567378023 0 7.72622188460952
KBS0704 9 0.372262581820124 0 6.20855636147363
KBS0704 10 0.402836030548992 0 6.45046663298911
KBS0704 11 0.366375225621373 0 6.33639015769713
KBS0704 12 0.3497485248208 0 6.19708933637526
KBS0705 1 0.016529593518121 -1.94183897896631e-05 7.22693113730117
KBS0705 2 0.00932264671296706 -8.96517337920591e-06 6.82894636838326
