lid	temp_soil	grav	NO3	NH4	PH
EA_010	24	9.41	6.48	1.79	7.07
EA_011	23	5.50	4.32	1.50	6.03
EA_012	22.4	11.12	6.13	0.97	6.293333333
EA_002	21.6	8.80	21.93	6.36	6.29
EA_003	21.6	10.94	7.71	1.86	6.84
EA_004	21.6	10.79	6.71	1.73	6.896666667
EA_005	21.7	13.01	9.10	1.64	6.76
EA_006	21.9	12.57	21.84	1.70	6.67
EA_007	22.9	7.88	5.52	1.31	6.855
EA_008	22.4	6.60	6.09	1.47	6.133333333
EA_009	24.3	9.24	5.72	1.02	6.413333333
KA_032	26.7	5.14	14.41	2.76	6.523333333
KA_033	26.7	6.13	11.16	1.78	6.19
KA_034	26.4	6.17	13.09	1.84	6.25
KA_035	26.7	5.59	5.26	1.25	6.353333333
KA_036	26.2	7.35	6.22	1.54	6.296666667
KA_037	25.7	5.82	7.47	4.49	6
KA_038	24.8	5.91	4.70	5.12	5.8
KA_039	25.1	7.82	37.33	27.87	6.136666667
KA_040	25.2	7.13	4.51	1.05	6.1
KA_041	25.4	6.01	3.49	0.65	6.276666667
KA_042	25.6	7.15	27.70	8.61	5.763333333
RA_062	23.4	4.06	2.33	3.12	5.963333333
RA_063	23.8	5.15	2.80	1.94	5.95
RA_064	23.8	4.57	3.44	3.99	5.92
RA_065	23.7	4.50	8.93	19.62	5.836666667
RA_066	23.8	5.27	8.69	5.50	5.75
RA_067	24.1	2.46	2.13	4.90	6.01
RA_068	24.1	3.41	4.76	5.14	5.726666667
RA_069	22.7	3.75	10.99	42.02	5.653333333
RA_070	21.6	5.71	2.50	0.95	5.7
RA_071	21.6	6.62	1.96	1.16	6.59
RA_072	22.4	5.37	2.42	0.77	6.66
