lid	temp_soil	grav	NO3	NH4	PH
EF_017	21.7	8.12	3.34	1.14	5.453333333
EF_018	21.8	9.77	3.66	1.26	5.55
EF_019	21.6	9.30	3.57	1.30	5.793333333
EF_020	21.7	10.30	3.70	1.35	6.026666667
EF_021	21.1	7.17	2.28	1.11	6.153333333
EF_022	22.1	10.50	2.73	1.17	5.656666667
EF_023	20.9	7.54	4.39	0.99	4.746666667
EF_024	20.7	14.58	3.37	1.38	6.276666667
EF_025	21.7	14.99	2.77	0.97	4.83
EF_026	24.1	7.59	1.10	0.94	6.346666667
EF_027	23.8	42.94	8.95	3.85	6.043333333
KF_047	24.4	9.19	2.06	1.70	4.58
KF_048	22.8	10.99	1.98	3.23	4.596666667
KF_049	22.7	11.72	2.05	2.14	4.756666667
KF_050	24.9	9.05	2.03	2.64	4.906666667
KF_051	21.9	13.70	2.14	2.71	4.876666667
KF_052	21.4	11.35	4.23	1.95	6.493333333
KF_053	20.5	12.05	4.53	1.96	6.74
KF_054	20.7	9.73	3.28	1.69	6.57
KF_055	20.3	14.04	4.88	1.16	6.28
KF_056	20.6	7.78	2.26	1.23	6.613333333
KF_057	21.3	7.87	1.99	1.04	6.176666667
RF_077	21	11.33	3.27	1.39	4.423333333
RF_078	21.2	8.45	3.50	1.37	4.326666667
RF_079	21.1	7.30	2.96	1.44	4.246666667
RF_080	22	10.39	8.71	2.64	4.636666667
RF_081	21.4	24.32	4.92	7.85	3.54
RF_082	21.9	7.86	3.82	1.47	4.21
RF_083	20.9	11.37	7.43	32.58	5.353333333
RF_084	21.2	7.72	1.87	1.07	4.46
RF_085	21	7.99	2.78	1.32	4.413333333
RF_086	20.8	13.24	5.04	1.15	3.846666667
RF_087	19.9	33.65	3.48	3.69	4.34
